gene_id,DO50636,DO50630,DO50623,DO50628,DO50621,DO50601,DO50644,DO50513,DO50514,DO50516,DO50518,DO50511,DO50507,DO50599,DO50581,DO50584,DO50586,DO50571,DO50572,DO50567,DO50568,DO50565,DO50557,DO50550,DO50551,DO50553,DO50555,DO50545,DO50547,DO50549,DO50539,DO50524,DO50526,DO50528,DO50497,DO50499,DO50483,DO50485,DO50487,DO50489,DO50472,DO50474,DO50476,DO50468,DO50460,DO50461,DO50465,DO50466,DO50459,DO234440,DO234428,DO234421,DO234438,DO234434,DO234436,DO234430,DO234432
ADNP,9081,18859,11418,16172,14143,14114,15115,13017,27229,10607,16988,12604,23213,9783,14386,6881,25581,16777,12281,8324,23527,13176,9294,12478,11782,12778,13184,2153,12775,11286,7300,19282,20578,10219,9908,28039,11195,19631,16140,19249,8943,18027,7737,15072,9522,14740,29139,18061,25421,11710,15350,11038,15247,17395,17453,21281,12518
ADNP2,535,754,1123,1957,2464,1871,3425,1940,3310,1684,2846,1421,2152,9361,1569,1123,2748,2307,1821,1397,2815,2440,1449,1417,1618,2139,1916,117,1270,3939,973,3508,2960,2393,1932,3116,1302,4609,2493,1860,2126,2206,6413,1392,1130,3447,2065,2827,3317,2698,2165,2403,2099,2435,2322,2823,1658
AEBP1,8961,3869,6871,4333,7446,12548,3845,2799,4456,143023,45290,4415,3414,59524,3606,17067,10359,52168,28634,3604,38489,9332,58750,9200,1280,4966,4997,7299,2597,1817,28678,7731,4853,11278,18077,6434,11840,12568,7791,10973,101259,6522,24843,16049,29960,12741,5024,11423,38014,7333,16652,199024,17233,25554,7815,13654,47054
AEBP2,1260,2389,3546,3722,3467,4413,10589,4214,8138,3393,7362,5874,5673,4778,4031,908,7513,2184,4231,1563,5128,7156,2205,4613,7448,3251,4264,36,1610,4954,1047,4863,3241,2534,3399,3849,985,4088,5663,5305,2182,3580,8165,5956,1868,7939,4330,7325,5763,1849,8193,2320,4533,4619,3057,5775,2310
AHCTF1,907,6646,2145,3885,5323,5060,6218,2478,6904,3773,4719,2846,5135,8411,3425,2618,5878,3383,4408,2150,5843,3308,2095,2326,3314,3469,3887,90,2325,3783,3052,5019,11184,3189,6365,7465,2461,6514,3772,4287,2858,4669,5214,4595,3942,6947,4842,7109,7304,3053,4139,3609,7788,5365,3932,7138,4566
AHDC1,1502,1898,2587,1696,2439,3967,3851,2092,1315,5294,3899,3023,3387,3322,12986,3013,2216,4330,2043,2537,8595,5921,3424,2153,1383,3343,7234,857,7560,3273,1296,3822,3560,4434,2380,3520,4210,1063,3967,1908,4304,4317,1889,1671,2185,1791,5655,9890,2997,2384,3304,5242,1710,3674,2548,3643,2401
AHR,818,612,957,146,6922,1308,788,793,1921,13260,3282,523,1128,10054,830,207,1504,942,1323,256,1715,750,1316,487,1222,976,5849,14,373,394,621,3158,2862,728,4274,1853,400,1292,714,585,11116,712,2002,1627,518,8810,331,2259,2583,1026,1800,14080,2047,2713,1046,1031,1860
AIRE,15,29,8,48,47,40,54,7,8,57,38,2,84,89,668,55,46,113,43,20,53,58,21,67,13,79,11,0,75,143,50,45,7,27,26,2,209,46,6,8,144,6,52,10,256,4,113,17,33,14,110,50,8,35,143,27,21
AKAP8,2516,4282,3311,3944,3686,3093,4631,4444,3171,3984,4758,4309,5056,5355,3599,3351,4072,5797,3293,3201,7149,2802,3523,3687,3905,4006,4602,1434,3426,3777,2571,3341,4262,4430,2701,3716,3784,2563,4695,5754,4779,3278,4531,3707,5707,3743,3811,5252,4464,4337,4371,3904,3747,5513,2837,3911,4044
AKAP8L,4318,10484,7134,11242,6343,5499,13848,11912,5388,8957,9083,6517,18906,7733,22980,7871,10203,22910,7326,7009,26410,7040,8986,10216,18423,10143,11178,1162,19305,7741,8914,11442,7587,7220,5203,6603,11781,5645,11808,16146,8222,11323,7509,9866,35445,8857,16186,14504,10663,10554,12162,5275,5351,13362,6846,14513,8768
