gene_id,DO27851,DO27853,DO27855,DO27857,DO27859,DO27861,DO27863,DO27865,DO27831,DO27833,DO27835,DO27837,DO27839,DO27841,DO27843,DO27845,DO27847,DO27849,DO27819,DO27811,DO27813,DO27815,DO27817,DO27821,DO27823,DO27825,DO27827,DO27829,DO27809,DO27801,DO27803,DO27805,DO27807,DO27793,DO27795,DO27797,DO27799,DO27771,DO27773,DO27775,DO27777,DO27779,DO27791,DO27781,DO27783,DO27785,DO27787,DO27789,DO27764,DO27763,DO27765,DO27767,DO27769,DO52694,DO52693,DO52695,DO52690,DO52682,DO52684,DO52687,DO52686,DO52689,DO52688,DO52681,DO52680,DO52679,DO52672,DO52671,DO52674,DO52676,DO52675,DO52677,DO52669,DO52661,DO52662,DO52665,DO52664,DO52667,DO228309,DO228606,DO228834,DO221130,DO221131,DO221118,DO221119,DO221116,DO221117,DO221125,DO221126,DO221123,DO221124,DO221121,DO221122,DO221120,DO221129,DO221128,DO52657,DO52658,DO52659,DO52650,DO52653,DO52654,DO52656,DO52647,DO52649
ADNP,17421,17738,19127,17257,24365,27809,27702,29018,9541,20767,27631,17342,29686,12577,22102,14048,14997,16322,40281,21509,15884,27612,30266,34863,17596,31920,22943,31737,15869,18791,20349,25830,19619,34355,22603,33706,20777,26300,24117,23826,23481,14455,30110,38145,14426,22593,21870,18389,21381,28880,21218,23717,30371,13670,13537,33666,16959,10831,19855,11557,10923,9805,9327,13476,25137,8413,12229,8033,14320,15642,4441,13228,16535,18877,26936,19014,21378,21550,29931,21628,17205,22604,24261,22806,19005,18505,21925,24290,10717,12455,16985,24450,9273,26925,24969,6961,21005,23163,15489,23943,19323,22676,28569,21349,15369
ADNP2,4546,3665,5023,6063,4549,5936,5377,7860,3724,15797,5485,2802,8407,3670,3526,3219,4066,2934,8624,11118,3592,3786,5936,4868,15386,6142,5727,5396,4734,4081,2938,4992,5728,7025,3115,5580,5197,5093,4057,5047,6182,3229,6867,4340,5985,3937,4141,5817,2505,3528,4215,5324,4852,2310,2530,4529,4514,2421,4255,2913,4689,1422,1937,2097,4301,2613,3388,2149,4722,3010,1178,2072,2088,5251,3553,6568,4203,2317,6768,4620,6878,6223,3123,4724,3430,4398,5151,5432,2436,3417,3424,2994,1410,6184,12897,1849,3925,5445,6975,5830,3450,4113,4601,3390,3472
AEBP1,17587,15606,20048,23721,11141,3040.5,6843,1898,9666,10378,15980,15493,78061,5562,16100,19142,86770,12834,19073,8767,23113,8255,21560,17738,20079,35096,60357,62786,4533,9214,20548,9506,41337,34830,3033,84977,40797,11463,18933,14517,15115,35953,20074,17572,68177,10618,11986,84404,25070,24195,48603,38257,19470,7107,11390,10790,11176,24038,87483,38404,36600,12814,5868,9191,35710,9984,10364,8108,13915,15061,15418,3335,16303,8531,31470,7211,12028,9042,4136,17332,5929,13663,9603,183092,61729,3958,21303,17128,17401,18039,15636,12043,12096,25261,11335,24518,54495,45125,6898,71561,12275,30465,10773,28272,18241
AEBP2,10288,10415,15354,11100,10848,13435.5,12426.5,15796,8714,14740,14562,9792,15144,14942,14558,9648,9472,14155,17737,8294,10688,12920,15136,13553,13222,16271,12572,16915,12401,10669,9723,14533,14708,16920,14824,15042,16427,10321,11056,12552,11600,13399,12942,16616,13435,12549,16042,9987,9639,10598,8184,10909,16139,7366,7001,12705,12336,7604,19570,5789,7912,5270,5165,9471,13635,6518,11212,5219,18947,10027,4063,6115,10746,13313,12579,11636,14436,9311,14183,14696,12625,11200,9232,14670,10304,11447,13385,13854,6441,9659,8409,9672,5315,17103,15423,5749,10487,12715,13401,17737,13624,12673,12317,14433,9368
AHCTF1,7595,6848,7205,5352,7893,8266.5,7179,8133,6842,10168,7533,5602,9172,6834,8390,5370,4177,10154,13134,8989,6025,10109,10771,10028,17482,11834,7716,12296,7232,8233,5356,7999,5864,14221,7269,10548,10570,6744,8326,8234,8968,6756,8167,11316,6936,8100,8093,5020,6954,9937,8392,7582,11457,4408,3534,7956,5329,4218,4898,3705,5316,2872,2945,4535,9091,3249,3665,2309,7510,5901,1176,4360,7083,9297,8977,6794,7224,7170,7688,7588,5278,7632,6895,6584,6193,4911,9988,7921,4210,3734,3805,8477,3001,8312,8823,2797,6523,4426,8045,9899,5811,5204,8016,9118,5026
AHDC1,2954,3788,2013,2962,3584,2337,3162,1357,1106,2605,3126,2984,4286,849,4480,3264,3872,1715,3768,1439,5146,1354,4385,1007,2993,3458,2809,4606,1109,2510,1681,2497,7601,7139,835,6665,2952,2179,2885,1678,3709,2099,6436,6518,3635,3654,3670,4201,3353,2195,4560,5687,2114,2065,2359,2998,1075,2147,2121,1774,2368,1150,1334,1292,5440,1199,4606,463,2896,2133,2046,2213,2324,1475,2710,3179,2220,2301,1451,2777,2513,2555,2138,6487,4224,938,1319,1815,467,2432,1019,4024,1114,5430,4211,1652,3285,4970,3295,2320,2711,5264,3541,3575,3734
AHR,31067,13694,16944,7574,14110,12728.5,8142.5,19660,13116,44666,31634,18136,28773,24190,27615,28069,14773,7091,8480,56307,40744,2744,31727,2770,6446,3791,28941,6608,11878,24066,15395,15591,32457,16759,2898,25827,3013,8844,19925,3658,17920,16253,6110,18845,40250,15721,30707,39787,2064,1299,1250,14429,2531,12069,8620,12472,6822,16513,29495,24730,19340,7892,7171,12901,17754,15664,20399,2278,13933,33793,3290,14033,11595,34244,22703,32503,17139,9215,14998,33214,39389,17766,7173,23128,19942,14274,12390,16641,3913,16350,24305,2669,8597,27298,22156,10035,27642,5034,57148,10180,22119,16372,27859,13142,17973
AIRE,1103,251,23,117,87,32.5,19.5,8,2,34,83,215,30,153,250,75,237,258,14,39,164,13,1257,52,17,4,87,48,56,61,9,579,79,78,13,391,31,50,311,23,33,112,13,708,47,45,34,32,113,20,22,16,10,1035,702,219,7,12,39,22,21,16,72,39,138,78,70,5,76,112,1,16,377,134,25,91,178,1562,4,93,12,66,249,25,146,9,12,220,25,84,18,24,29,190,385,0,149,35,18,423,362,12,364,109,1073
AKAP8,13146,10786,8501,7374,9352,14947.5,16272,12785,4531,13278,8702,8416,12063,7997,9304,7254,7575,8642,13690,10453,11239,8407,11417,10436,13040,12106,10457,13500,8505,8822,5852,13654,9921,12665,5899,16679,12837,6567,11475,10684,9102,4896,9007,14345,8088,11422,9214,6139,6317,8147,6917,6596,11732,7225,6238,15299,5876,5663,9737,4331,3984,4054,4225,6794,13735,4259,5531,4190,10770,7103,1340,5947,11040,11780,12681,10425,8654,11217,12171,7960,6946,9119,10474,8243,7840,9321,11606,10529,5959,6382,6177,8603,4974,13587,15032,4747,10086,8737,9627,12238,10655,10809,10784,9315,9002
AKAP8L,28525,22665,16369,18472,24898,30175,28734,22566,7904,22921,17825,22106,21531,19443,19749,18194,18449,18031,21788,14668,20524,13650,28087,15451,42562,17613,23836,20517,18131,18435,17161,23114,20391,17573,12942,38167,24343,11270,27531,16792,14636,15525,15261,36186,16520,34688,27603,14369,16649,21909,16575,12239,19533,13564,16451,48278,16530,10452,36734,8583,10195,9681,8364,16996,34396,7379,16007,9358,21082,13385,4188,16450,25745,19498,29807,19251,24139,30131,23737,15275,10751,21114,24462,15905,21613,19471,16148,17303,11191,10443,11541,14459,13002,35295,25342,7325,23838,18546,16213,27511,28738,30824,27559,24643,23308
