gene_id,DO229117,DO229119,DO229113,DO229112,DO229114,DO229065,DO229064,DO229067,DO229066,DO229069,DO229068,DO229070,DO229072,DO229071,DO229074,DO229073,DO229076,DO229075,DO229078,DO229077,DO229079,DO229081,DO229080,DO229083,DO229082
ADNP,26975,63976,25041,39558,36777,30672,26430,28532,29387,20311,26596,51100,30620,30871,31427,28245,27708,31738,35472,34610,26801,35628,25638,29982,34984
ADNP2,6894,6754,5810,8512,6422,4181,5824,6714,9632,5140,8752,7121,8322,5784,6865,8314,9834,9146,5673,6356,6448,4331,8148,7483,7224
AEBP1,72280,772,176087,11402,103146,50343,148380,86866,40976,34159,28094,16283,83290,53834,20283,50160,56582,62223,61499,26965,46877,4688,47729,37410,99154
AEBP2,5522,5357,4757,6337,5960,5897,9012,5644,4537,4981,6715,5684,8280,5187,6532,8090,7867,3933,5167,7185,3482,4892,3786,5833,7226
AHCTF1,10589,8731,9063,15185,11615,17973,13716,12369,12352,9159,13192,13713,15027,9490,12707,14416,15891,12751,15775,14283,9933,11352,5486,10537,13166
AHDC1,4857,960,6286,3749,6673,2926,9114,4547,1910,3496,2562,4092,6231,3723,3493,6796,3467,3918,6485,4462,4410,2482,4574,6360,6858
AHR,5820,1575,5483,3221,12261,6251,12623,12585,4064,12126,6888,2038,13908,6572,4495,18294,13205,5441,8236,5223,5562,4248,4947,11458,10020
AIRE,97,3,125,4,20,26,5,25,11,8,3,9,16,10,13,38,102,28,8,60,53,4,14,67,46
AKAP8,8651,6771,8425,9931,8049,6922,8636,7185,7331,6361,7871,8468,10685,6483,9516,10280,11711,9643,6585,9839,9427,8648,8492,9347,8980
AKAP8L,21031,11247,17295,19342,13151,7909,12384,11036,14147,11723,10998,16647,13040,9781,19602,15137,16830,23357,10771,23912,19002,12824,27015,15171,15186
AKNA,6595,1513,6888,4950,8277,6916,7426,10166,4165,7366,5844,3664,8380,5698,3635,10755,11777,8325,4672,4211,7073,2175,6150,8939,5019
ALX1,22,2,31,14,16,13,1,0,2,1,376,48,41,17,10,2,152,59,164,31,43,0,10,17,17
ALX3,1,0,1,12,2,5,7,2,1,6,1,0,2,1,0,4,5,2,5,3,0,2,1,10,1
ALX4,731,24,973,1572,382,87,15,204,67,28,8738,297,272,368,153,283,564,944,139,129,41,352,742,231,70
ANKZF1,26118,31722,18197,22720,25693,10106,7937,10572,26797,14025,9997,17905,11046,11641,27487,15298,15862,26979,6497,22088,29714,27593,25650,18517,21299
AR,22219,69880,29731,52722,33952,47569,31259,32551,50287,56233,36713,63337,35889,38748,46748,34308,22775,33419,36097,27892,43091,48720,25423,30719,54019
ARGFX,0,4,1,0,1,3,0,0,0,6,0,4,0,1,0,0,0,4,0,1,0,0,0,6,1
ARID2,4849,6611,5900,7349,11407,13053,7509,10259,7861,7279,11259,10753,10547,7373,12126,10463,9064,8300,8094,14709,6906,7668,5774,8997,10532
ARID3A,3927,5695,3757,3739,4826,2405,1415,2760,4403,4042,1887,2809,3271,3505,3401,2354,1555,878,994,1242,2359,3038,2679,2405,3060
ARID3B,2709,2604,2700,3269,2707,1964,1941,2386,3575,3731,1318,2953,2765,2315,3659,2890,3143,2891,1710,2110,3374,2182,3799,2926,2709
ARID3C,459,59,14,24,490,259,14,9,47,14,32,20,20,63,20,10,19,11,15,6,101,75,13,24,226
ARID5A,5598,1024,4362,3460,6301,3392,16222,6436,2126,5639,2446,1849,8806,2950,1491,10666,12818,7424,9513,4647,4476,320,7606,7190,3894
ARID5B,29455,9969,18433,21830,16161,36492,36651,20624,16678,20850,45014,14704,28266,22999,25263,28786,58405,29650,33864,35138,19489,15986,11036,25656,22024
ARNT,14154,8193,9460,11774,15249,8473,11415,10156,8147,6878,13332,11227,11094,7718,10144,11307,9370,8596,10062,10009,8129,6587,6840,10586,11473
ARNTL,1819,100,952,1652,2228,1338,1363,1859,973,975,793,734,1901,1124,1876,2942,2007,1667,1407,2008,1920,724,1224,1714,2575
ARNTL2,215,166,162,202,1868,620,1084,992,294,333,567,172,1039,357,337,956,2987,291,452,417,181,353,106,471,570
ARX,1190,323,56,346,899,69,534,758,6,534,403,110,689,1639,284,318,2424,3890,278,460,163,8,3656,3145,483
ASCL1,163,61,101,1413,179,232,35,27,17,144,170,39,282,36,48,89,434,1601,30,153,31,90,11,251,108
ASCL2,266,24,169,17,471,97,353,103,28,14836,61,99,465,94,51,1342,87,184,105,163,126,34,125,204,110
ASCL3,0,1,7,13,2,0,2,8,2,2,1,1,10,3,17,1,13,10,0,13,2,5,4,9,8
ASCL4,17,1,13,0,1,20,2,12,0,113,36,0,13,37,7,11,0,9,4,15,4,0,11,10,6
ATF1,5920,3540,2954,3455,4506,6159,6412,5630,3288,3713,2987,5086,6202,3968,4351,6783,4598,4056,5822,5286,3609,5034,2138,4224,5668
ATF2,9232,7129,9478,13742,12371,13895,15442,13849,7548,10593,9569,11709,10785,10003,10069,13813,17141,11346,14276,11798,11120,6559,7862,11325,12959
ATF3,2981,1369,20832,6023,150569,3608,51340,6830,71633,20684,3168,669,14576,12239,2739,42648,28850,31800,60222,4791,28554,2477,39480,68336,13416
ATF4,77518,51541,80627,78743,65726,100015,77731,100075,80061,120985,71114,122105,72792,86582,55927,99302,104547,83626,85776,53277,71511,74949,107995,82291,52637
ATF6,9228,26353,9166,8671,11011,13082,19277,17449,12098,7688,17628,11762,15708,8336,12259,16544,15752,9865,17016,15015,5866,7873,7108,10492,15308
ATF6B,33624,27497,20225,29603,20472,32968,23671,24614,22813,26900,24929,27008,26006,23700,28491,28516,23521,27384,31575,26422,27104,27113,20878,23707,27261
ATF7,11026,6674,7884,11303,11081,8264,10425,11010,10767,8381,9478,13153,9636,7791,9079,9110,14303,8757,10681,10600,9144,7968,6205,10408,8940
ATMIN,14997,12345,9978,17492,14160,29877,17664,17213,16245,12806,16971,20235,20680,17658,24128,21579,20773,18584,13517,10212,15448,9550,16409,10848,16325
ATOH1,257,30,161,1259,246,1094,0,159,0,602,195,14,7,73,1,219,1547,3203,1,79,841,18,28,20,79
ATOH7,80,30,44,89,27,27,21,2,89,58,16,56,10,165,45,11,12,100,1,291,66,152,22,53,32
ATOH8,1872,15336,1430,508,1786,876,3985,1117,649,6457,346,1012,2772,1872,1980,5595,2705,965,999,1529,1213,162,1066,7845,1262
BACH1,7873,4085,6371,11976,12334,11651,18774,22258,11123,11048,14987,8640,14491,13248,12081,15684,23920,10225,15315,14294,8185,6034,8328,12722,17481
BACH2,1302,75,647,72,942,613,1198,1095,568,466,400,195,1024,429,364,1892,1857,425,527,462,398,413,406,741,957
BARHL1,0,0,5,2,1,2,1,0,1,62,0,8,0,1,13,1,4,1,1,11,2,0,5,8,5
BARHL2,1,0,1,0,107,4,0,0,1,0,1,334,1,0,0,0,0,5,0,0,0,0,3,3,0
BARX1,36,47,22,5,16,29,59,23,1,33,1,134,38,7,0,9,2,9,33,4,7,57,50,20,8
